STATS,Autoc,contr,corrm,corrp,cprom,cshad,dissi,energ,entro,homom,homop,maxpr,sosvh,savgh,svarh,senth,dvarh,denth, inf1h, inf2h,indnc,idmnc
Sample(8)4,25.408,0.24853,0.97621,0.97621,754.84,0.67938,0.17461,0.092002,2.6429,0.92179,0.91954,0.11889,25.391,9.0129,63.628,2.4571,0.24853,0.48985,-0.72896,0.97558,0.98133,0.9964
Sample(8)5,25.25,0.37111,0.96502,0.96502,762.78,0.5779,0.24047,0.083437,2.7758,0.89524,0.89161,0.11587,25.307,8.9737,62.525,2.5178,0.37111,0.60366,-0.66477,0.96797,0.97455,0.99472
Sample(8)6,25.319,0.36737,0.96455,0.96455,738.3,1.7539,0.23826,0.083203,2.7749,0.89604,0.89249,0.11639,25.367,9.0159,62.58,2.5181,0.36737,0.60005,-0.66527,0.96804,0.97478,0.99479
Sample(8)7,25.375,0.3283,0.96836,0.96836,739.49,1.0452,0.22323,0.084834,2.7479,0.90123,0.89803,0.11581,25.403,9.0226,62.861,2.5082,0.3283,0.57634,-0.67829,0.96975,0.97623,0.99528
Sample(8)8,25.327,0.38634,0.96327,0.96327,758.04,-0.48867,0.24017,0.083899,2.7719,0.89641,0.89279,0.11704,25.387,9.0025,62.749,2.5142,0.38634,0.60182,-0.66628,0.96815,0.97471,0.99459
Sample(8)9,25.293,0.39124,0.96318,0.96318,768.18,-0.20264,0.24808,0.082723,2.7892,0.89253,0.88874,0.11847,25.336,8.9834,62.6,2.5228,0.39124,0.61546,-0.65807,0.96703,0.97381,0.99448
Sample(8)10,25.372,0.2692,0.97458,0.97458,767.16,-0.11885,0.18064,0.091753,2.6511,0.92003,0.91765,0.11889,25.363,8.9912,63.59,2.4586,0.2692,0.49986,-0.72483,0.97514,0.98078,0.99616
Sample(8)11,25.41,0.34306,0.96717,0.96717,742.94,0.9337,0.2345,0.083285,2.7672,0.89568,0.89261,0.11494,25.433,9.0237,62.81,2.5235,0.34306,0.59241,-0.66821,0.96838,0.975,0.99508
Sample(8)12,25.361,0.33493,0.96824,0.96824,760.91,-0.48486,0.22853,0.08424,2.7553,0.89855,0.89544,0.11613,25.396,9.0012,62.828,2.515,0.33493,0.58385,-0.67485,0.96932,0.97565,0.99519
Sample(8)13,25.321,0.24964,0.97631,0.97631,761.05,1.0241,0.17272,0.092593,2.6381,0.92299,0.92073,0.11773,25.306,8.984,63.467,2.4536,0.24964,0.48592,-0.731,0.97577,0.98157,0.9964
Sample(8)14,25.325,0.26625,0.9747,0.9747,762.44,0.63999,0.19175,0.089237,2.6832,0.91357,0.91111,0.1176,25.318,8.9879,63.122,2.4812,0.26625,0.52185,-0.709,0.9734,0.97944,0.99612
Sample(8)15,25.183,0.42974,0.95888,0.95888,745.72,2.0494,0.25099,0.083398,2.7878,0.89414,0.88999,0.11546,25.245,8.9827,62.326,2.5133,0.42974,0.61857,-0.65785,0.96694,0.97379,0.99408
